BatchID,YeastType,IngredientComposition,StartDate,FermentationDuration,Temperature,AmountLiters,EndDate,ExpiryDate,ParticleSize,BatchFinishDate
B001,효모A,RM101:60%,2025-03-01,72,28,1000,2025-03-04,2025-06-01,중,2025-03-04
B002,효모B,RM102:50%,2025-03-03,60,27,950,2025-03-06,2025-06-03,소,2025-03-06
B003,효모A,RM103:70%,2025-03-05,80,29,1100,2025-03-08,2025-06-05,대,2025-03-08
B004,효모C,RM104:55%,2025-03-07,72,28,1050,2025-03-10,2025-06-07,중,2025-03-10
B005,효모B,RM105:65%,2025-03-09,60,27,980,2025-03-12,2025-06-09,소,2025-03-12
B006,효모A,RM106:60%,2025-03-11,80,29,1200,2025-03-14,2025-06-11,대,2025-03-14
B007,효모C,RM107:50%,2025-03-13,72,28,990,2025-03-16,2025-06-13,중,2025-03-16
B008,효모B,RM108:70%,2025-03-15,60,27,970,2025-03-18,2025-06-15,소,2025-03-18
B009,효모A,RM109:60%,2025-03-17,80,29,1150,2025-03-20,2025-06-17,대,2025-03-20
B010,효모C,RM110:55%,2025-03-19,72,28,1020,2025-03-22,2025-06-19,중,2025-03-22
B011,효모B,RM111:65%,2025-03-21,60,27,960,2025-03-24,2025-06-21,소,2025-03-24
B012,효모A,RM112:60%,2025-03-23,80,29,1180,2025-03-26,2025-06-23,대,2025-03-26
