OakID,Name,Type,Origin,AgingPeriod,RefillCount,EvaporationRate,Temperature,Humidity,WaterAbsorptionTime,WoodType,SpiritID,AgingStartDate,AgingEndDate
O001,버번통1,버번통,미국,36,1,2.5,18,60,12,화이트오크,S001,2025-03-15,2028-03-15
O002,셰리통1,셰리통,스페인,48,2,2.0,17,62,14,유럽오크,S002,2025-03-17,2029-03-17
O003,미즈나라1,미즈나라,일본,60,3,1.8,16,65,16,미즈나라,S003,2025-03-19,2030-03-19
O004,버번통2,버번통,미국,36,1,2.4,18,60,12,화이트오크,S004,2025-03-21,2028-03-21
O005,셰리통2,셰리통,스페인,48,2,2.1,17,62,14,유럽오크,S005,2025-03-23,2029-03-23
O006,미즈나라2,미즈나라,일본,60,3,1.7,16,65,16,미즈나라,S006,2025-03-25,2030-03-25
O007,버번통3,버번통,미국,36,1,2.6,18,60,12,화이트오크,S007,2025-03-27,2028-03-27
O008,셰리통3,셰리통,스페인,48,2,2.2,17,62,14,유럽오크,S008,2025-03-29,2029-03-29
O009,미즈나라3,미즈나라,일본,60,3,1.9,16,65,16,미즈나라,S009,2025-03-31,2030-03-31
O010,버번통4,버번통,미국,36,1,2.3,18,60,12,화이트오크,S010,2025-04-02,2028-04-02
O011,셰리통4,셰리통,스페인,48,2,2.0,17,62,14,유럽오크,S011,2025-04-04,2029-04-04
O012,미즈나라4,미즈나라,일본,60,3,1.8,16,65,16,미즈나라,S012,2025-04-06,2030-04-06
